,MAE,MSE,RMSE,R2,MAPE,CV_R2_Mean,CV_R2_Std
Gradient Boosting,0.5986938904701836,0.6093399084146783,0.7806022728731183,0.9707855383547078,5.361702007782767,0.9694687324689573,0.002879144391040679
XGBoost,0.6540506807804108,0.7538806237387061,0.8682629922659989,0.9638556144719885,5.848644093108948,0.9616390592654234,0.0038381612956259205
Linear Regression,0.6489496410181086,0.7597623142357486,0.8716434559128798,0.9635736201055234,6.047902077743526,0.9637141561472047,0.002435716855513331
Extra Trees,0.6480960625000004,0.7674396614140627,0.8760363356699667,0.9632055339821937,5.831204104439257,0.9620556789700222,0.004009594620692445
Random Forest,0.6521925000000006,0.7797967393394528,0.8830610054460862,0.9626130807814203,5.890592914722599,0.9595511885057327,0.0032461400213275047
Decision Tree,0.9044164711953746,1.4977454724552843,1.2238241182683418,0.9281914296844687,8.276799646400963,0.925953840586365,0.007153671210418903
SVR,3.092997506049953,15.848667272436856,3.98103846658593,0.24014449773326196,27.1126748586697,0.23024057054536845,0.021903715007935927
